,Ac,Ba,Cf,Fi,Pr,CMY,BMP,MMR,Lag,D
OS1,6.358125154,18.83641672,7.811453251,13.85143263,31.39531671,25.14333333,42.57,0.64,20.22,0
OS2,7.545738912,17.32656445,8.830285568,15.12316473,29.51477128,35.88,58.6,0.8,14.35,100
OS3,9.998118783,14.87987728,10.65475397,18.08120593,25.59510214,33.93666667,61.16,0.75,14.7,1000
FW1,3.56830666,26.41173972,6.778684115,20.06005594,22.62551684,325.5566269,310.87,29.42,2.13,0
FW2,3.705166396,25.12280507,6.573045755,23.36100473,20.86185517,327.6446366,313.13,28.89,1.86,100
FW3,4.332867026,17.39326464,8.622250999,33.78918352,17.65908366,331.8084539,316.79,28.39,1.66,1000
SM1,4.58604448,27.1424266,6.721561414,15.69103299,23.19940184,111.2612755,107.47,5.35,2.36,0
SM2,5.018915572,26.62034664,6.578406468,16.01044933,24.56585035,112.3303281,109.07,4.94,2.2,100
SM3,5.349451206,22.43698024,7.80969122,18.42095535,24.12367841,114.1702796,110.84,5.13,2.11,1000
L1,3.861613755,25.16710397,7.117976484,19.40381826,21.02966707,261.64,244.77,25.92,1.83,0
L2,4.336225255,23.81909652,7.800567533,18.82140489,23.33139265,256.85,229.61,14.94,0.53,100
L3,3.965506017,22.47484656,8.183053472,20.36671324,21.0391479,250.18,237.23,27.81,1.75,1000
U1,4.081281212,23.88496642,8.162562425,20.54417083,19.90700878,243.65,229.62,14.94,0.53,0
U2,3.952554415,23.2658931,7.36707437,20.91937261,21.40869968,238.81,224.85,14.85,0.35,100
U3,3.741035767,22.79712305,7.555595227,21.00810273,20.99146663,237.35,224.88,14.58,0.34,1000
