,OS1,OS2,OS3,FW1,FW2,FW3,SM1,SM2,SM3
Ac,6.358125154,7.545738912,9.998118783,3.56830666,3.705166396,4.332867026,4.58604448,5.018915572,5.349451206
Ba,18.83641672,17.32656445,14.87987728,26.41173972,25.12280507,17.39326464,27.1424266,26.62034664,22.43698024
Cf,7.811453251,8.830285568,10.65475397,6.778684115,6.573045755,8.622250999,6.721561414,6.578406468,7.80969122
Fi,13.85143263,15.12316473,18.08120593,20.06005594,23.36100473,33.78918352,15.69103299,16.01044933,18.42095535
Pr,31.39531671,29.51477128,25.59510214,22.62551684,20.86185517,17.65908366,23.19940184,24.56585035,24.12367841
CMY,25.14333333,35.88,33.93666667,325.5566269,327.6446366,331.8084539,111.2612755,112.3303281,114.1702796
BMP,42.57,58.6,61.16,310.87,313.13,316.79,107.47,109.07,110.84
MMR,0.64,0.8,0.75,29.42,28.89,28.39,5.35,4.94,5.13
Lag,20.22,14.35,14.7,2.13,1.86,1.66,2.36,2.2,2.11
D,0,100,1000,0,100,1000,0,100,1000
